Action Name;Time (sequence)(s);Time (action)(s);Shear stress(Pa);Shear rate(s-¹);Shear strain(%);Normal force(N);Complex shear strain(%);Frequency(Hz);Complex shear stress(Pa);Shear modulus (elastic component)(Pa);Shear modulus (viscous component)(Pa);Shear modulus (complex component)(Pa);Torque(N m);Angular displacement(rad);Temperature(°C);Gap(mm)
Oscillation Single Frequency (5);4,383E+003;110,5;;;;0,1853;;;;;;;-1,210E-004;-3,205E-003;21,00;9,1500
Oscillation Single Frequency (5);4,383E+003;110,5;;;;0,1850;;;;;;;-1,226E-004;-3,242E-003;21,00;9,1500
Oscillation Single Frequency (5);4,383E+003;110,6;;;;0,1850;;;;;;;-1,243E-004;-3,280E-003;21,00;9,1500
Oscillation Single Frequency (5);4,383E+003;110,7;;;;0,1851;;;;;;;-1,259E-004;-3,317E-003;21,00;9,1500
Oscillation Single Frequency (5);4,383E+003;110,8;;;;0,1853;;;;;;;-1,275E-004;-3,351E-003;21,00;9,1500
Oscillation Single Frequency (5);4,384E+003;110,9;;;;0,1852;;;;;;;-1,290E-004;-3,384E-003;21,00;9,1500
Oscillation Single Frequency (5);4,384E+003;110,9;;;;0,1852;;;;;;;-1,305E-004;-3,417E-003;21,00;9,1500
Oscillation Single Frequency (5);4,384E+003;111,0;;;;0,1853;;;;;;;-1,320E-004;-3,450E-003;21,00;9,1500
Oscillation Single Frequency (5);4,384E+003;111,1;;;;0,1856;;;;;;;-1,334E-004;-3,481E-003;21,00;9,1500
Oscillation Single Frequency (5);4,384E+003;111,2;;;;0,1856;;;;;;;-1,348E-004;-3,513E-003;21,00;9,1500
Oscillation Single Frequency (5);4,384E+003;111,2;;;;0,1856;;;;;;;-1,362E-004;-3,546E-003;21,00;9,1500
Oscillation Single Frequency (5);4,384E+003;111,3;;;;0,1855;;;;;;;-1,375E-004;-3,576E-003;21,00;9,1500
Oscillation Single Frequency (5);4,384E+003;111,4;;;;0,1858;;;;;;;-1,388E-004;-3,603E-003;21,00;9,1500
Oscillation Single Frequency (5);4,384E+003;111,5;;;;0,1860;;;;;;;-1,400E-004;-3,632E-003;21,00;9,1500
Oscillation Single Frequency (5);4,384E+003;111,6;;;;0,1859;;;;;;;-1,413E-004;-3,661E-003;21,00;9,1500
Oscillation Single Frequency (5);4,384E+003;111,6;;;;0,1858;;;;;;;-1,424E-004;-3,689E-003;21,00;9,1500
Oscillation Single Frequency (5);4,384E+003;111,7;;;;0,1854;;;;;;;-1,436E-004;-3,716E-003;21,00;9,1500
Oscillation Single Frequency (5);4,385E+003;111,8;;;;0,1855;;;;;;;-1,447E-004;-3,741E-003;21,00;9,1500
Oscillation Single Frequency (5);4,385E+003;111,9;;;;0,1858;;;;;;;-1,458E-004;-3,767E-003;21,00;9,1500
Oscillation Single Frequency (5);4,385E+003;112,0;;;;0,1858;;;;;;;-1,468E-004;-3,792E-003;21,00;9,1500
Oscillation Single Frequency (5);4,385E+003;112,0;;;;0,1859;;;;;;;-1,478E-004;-3,816E-003;21,00;9,1500
Oscillation Single Frequency (5);4,385E+003;112,1;;;;0,1859;;;;;;;-1,488E-004;-3,838E-003;21,00;9,1500
Oscillation Single Frequency (5);4,385E+003;112,2;;;;0,1857;;;;;;;-1,497E-004;-3,863E-003;21,00;9,1500
Oscillation Single Frequency (5);4,385E+003;112,3;;;;0,1860;;;;;;;-1,506E-004;-3,885E-003;21,00;9,1500
Oscillation Single Frequency (5);4,385E+003;112,3;;;;0,1860;;;;;;;-1,514E-004;-3,905E-003;21,00;9,1500
Oscillation Single Frequency (5);4,385E+003;112,4;;;;0,1860;;;;;;;-1,522E-004;-3,926E-003;21,00;9,1500
Oscillation Single Frequency (5);4,385E+003;112,5;;;;0,1860;;;;;;;-1,529E-004;-3,950E-003;21,00;9,1500
Oscillation Single Frequency (5);4,385E+003;112,6;;;;0,1860;;;;;;;-1,537E-004;-3,968E-003;21,00;9,1500
Oscillation Single Frequency (5);4,385E+003;112,7;;;;0,1857;;;;;;;-1,543E-004;-3,988E-003;21,00;9,1500
Oscillation Single Frequency (5);4,385E+003;112,7;;;;0,1858;;;;;;;-1,550E-004;-4,005E-003;21,00;9,1500
Oscillation Single Frequency (5);4,386E+003;112,8;;;;0,1856;;;;;;;-1,556E-004;-4,020E-003;21,00;9,1500
Oscillation Single Frequency (5);4,386E+003;112,9;;;;0,1853;;;;;;;-1,561E-004;-4,040E-003;21,00;9,1500
Oscillation Single Frequency (5);4,386E+003;113,0;;;;0,1854;;;;;;;-1,567E-004;-4,055E-003;21,00;9,1500
Oscillation Single Frequency (5);4,386E+003;113,0;;;;0,1856;;;;;;;-1,571E-004;-4,072E-003;21,00;9,1500
Oscillation Single Frequency (5);4,386E+003;113,1;;;;0,1858;;;;;;;-1,576E-004;-4,083E-003;21,00;9,1500
Oscillation Single Frequency (5);4,386E+003;113,2;;;;0,1857;;;;;;;-1,580E-004;-4,097E-003;21,00;9,1500
Oscillation Single Frequency (5);4,386E+003;113,3;;;;0,1857;;;;;;;-1,583E-004;-4,111E-003;21,00;9,1500
Oscillation Single Frequency (5);4,386E+003;113,4;;;;0,1856;;;;;;;-1,586E-004;-4,121E-003;21,00;9,1500
Oscillation Single Frequency (5);4,386E+003;113,4;;;;0,1855;;;;;;;-1,589E-004;-4,134E-003;21,00;9,1500
Oscillation Single Frequency (5);4,386E+003;113,5;;;;0,1855;;;;;;;-1,591E-004;-4,143E-003;21,00;9,1500
Oscillation Single Frequency (5);4,386E+003;113,6;;;;0,1857;;;;;;;-1,593E-004;-4,151E-003;21,00;9,1500
Oscillation Single Frequency (5);4,386E+003;113,7;;;;0,1857;;;;;;;-1,595E-004;-4,160E-003;21,00;9,1500
Oscillation Single Frequency (5);4,386E+003;113,7;;;;0,1856;;;;;;;-1,596E-004;-4,169E-003;21,00;9,1500
Oscillation Single Frequency (5);4,387E+003;113,8;;;;0,1853;;;;;;;-1,596E-004;-4,177E-003;21,00;9,1500
Oscillation Single Frequency (5);4,387E+003;113,9;;;;0,1849;;;;;;;-1,596E-004;-4,181E-003;21,00;9,1500
Oscillation Single Frequency (5);4,387E+003;114,0;;;;0,1850;;;;;;;-1,596E-004;-4,189E-003;21,00;9,1500
Oscillation Single Frequency (5);4,387E+003;114,1;;;;0,1851;;;;;;;-1,596E-004;-4,191E-003;21,00;9,1500
Oscillation Single Frequency (5);4,387E+003;114,1;;;;0,1851;;;;;;;-1,595E-004;-4,194E-003;21,00;9,1500
Oscillation Single Frequency (5);4,387E+003;114,2;;;;0,1851;;;;;;;-1,593E-004;-4,196E-003;21,00;9,1500
Oscillation Single Frequency (5);4,387E+003;114,3;;;;0,1851;;;;;;;-1,591E-004;-4,197E-003;21,00;9,1500
Oscillation Single Frequency (5);4,387E+003;114,4;;;;0,1851;;;;;;;-1,589E-004;-4,200E-003;21,00;9,1500
Oscillation Single Frequency (5);4,387E+003;114,5;;;;0,1853;;;;;;;-1,586E-004;-4,199E-003;21,00;9,1500
Oscillation Single Frequency (5);4,387E+003;114,5;;;;0,1854;;;;;;;-1,583E-004;-4,197E-003;21,00;9,1500
Oscillation Single Frequency (5);4,387E+003;114,6;;;;0,1851;;;;;;;-1,580E-004;-4,194E-003;21,00;9,1500
Oscillation Single Frequency (5);4,387E+003;114,7;;;;0,1850;;;;;;;-1,576E-004;-4,195E-003;21,00;9,1500
Oscillation Single Frequency (5);4,387E+003;114,8;;;;0,1850;;;;;;;-1,571E-004;-4,189E-003;21,00;9,1500
Oscillation Single Frequency (5);4,388E+003;114,8;;;;0,1854;;;;;;;-1,567E-004;-4,184E-003;21,00;9,1500
Oscillation Single Frequency (5);4,388E+003;114,9;;;;0,1854;;;;;;;-1,561E-004;-4,178E-003;21,00;9,1500
Oscillation Single Frequency (5);4,388E+003;115,0;;;;0,1850;;;;;;;-1,556E-004;-4,173E-003;21,00;9,1500
Oscillation Single Frequency (5);4,388E+003;115,1;;;;0,1852;;;;;;;-1,550E-004;-4,167E-003;21,00;9,1500
Oscillation Single Frequency (5);4,388E+003;115,2;;;;0,1854;;;;;;;-1,543E-004;-4,159E-003;21,00;9,1500
Oscillation Single Frequency (5);4,388E+003;115,2;;;;0,1855;;;;;;;-1,537E-004;-4,152E-003;21,00;9,1500
Oscillation Single Frequency (5);4,388E+003;115,3;;;;0,1851;;;;;;;-1,529E-004;-4,144E-003;21,00;9,1500
Oscillation Single Frequency (5);4,388E+003;115,4;;;;0,1848;;;;;;;-1,522E-004;-4,130E-003;21,00;9,1500
Oscillation Single Frequency (5);4,388E+003;115,5;;;;0,1850;;;;;;;-1,514E-004;-4,118E-003;21,00;9,1500
Oscillation Single Frequency (5);4,388E+003;115,5;;;;0,1854;;;;;;;-1,505E-004;-4,109E-003;21,00;9,1500
Oscillation Single Frequency (5);4,388E+003;115,6;;;;0,1855;;;;;;;-1,497E-004;-4,100E-003;21,00;9,1500
Oscillation Single Frequency (5);4,388E+003;115,7;;;;0,1851;;;;;;;-1,487E-004;-4,086E-003;21,00;9,1500
Oscillation Single Frequency (5);4,388E+003;115,8;;;;0,1853;;;;;;;-1,478E-004;-4,071E-003;21,00;9,1500
Oscillation Single Frequency (5);4,389E+003;115,9;;;;0,1851;;;;;;;-1,468E-004;-4,053E-003;21,00;9,1500
Oscillation Single Frequency (5);4,389E+003;115,9;;;;0,1852;;;;;;;-1,458E-004;-4,039E-003;21,00;9,1500
Oscillation Single Frequency (5);4,389E+003;116,0;;;;0,1855;;;;;;;-1,447E-004;-4,023E-003;21,00;9,1500
Oscillation Single Frequency (5);4,389E+003;116,1;;;;0,1854;;;;;;;-1,436E-004;-4,006E-003;21,00;9,1500
Oscillation Single Frequency (5);4,389E+003;116,2;;;;0,1852;;;;;;;-1,424E-004;-3,991E-003;21,00;9,1500
Oscillation Single Frequency (5);4,389E+003;116,2;;;;0,1852;;;;;;;-1,412E-004;-3,974E-003;21,00;9,1500
Oscillation Single Frequency (5);4,389E+003;116,3;;;;0,1853;;;;;;;-1,400E-004;-3,955E-003;21,00;9,1500
Oscillation Single Frequency (5);4,389E+003;116,4;;;;0,1853;;;;;;;-1,388E-004;-3,933E-003;21,00;9,1500
Oscillation Single Frequency (5);4,389E+003;116,5;;;;0,1856;;;;;;;-1,375E-004;-3,913E-003;21,00;9,1500
Oscillation Single Frequency (5);4,389E+003;116,6;;;;0,1857;;;;;;;-1,361E-004;-3,895E-003;21,00;9,1500
Oscillation Single Frequency (5);4,389E+003;116,6;;;;0,1855;;;;;;;-1,348E-004;-3,874E-003;21,00;9,1500
Oscillation Single Frequency (5);4,389E+003;116,7;;;;0,1854;;;;;;;-1,334E-004;-3,855E-003;21,00;9,1500
Oscillation Single Frequency (5);4,390E+003;116,8;;;;0,1853;;;;;;;-1,319E-004;-3,830E-003;21,00;9,1500
Oscillation Single Frequency (5);4,390E+003;116,9;;;;0,1854;;;;;;;-1,305E-004;-3,808E-003;21,00;9,1500
Oscillation Single Frequency (5);4,390E+003;117,0;;;;0,1856;;;;;;;-1,290E-004;-3,784E-003;21,00;9,1500
Oscillation Single Frequency (5);4,390E+003;117,0;;;;0,1856;;;;;;;-1,274E-004;-3,762E-003;21,00;9,1500
Oscillation Single Frequency (5);4,390E+003;117,1;;;;0,1858;;;;;;;-1,259E-004;-3,739E-003;21,00;9,1500
Oscillation Single Frequency (5);4,390E+003;117,2;;;;0,1857;;;;;;;-1,242E-004;-3,713E-003;21,00;9,1500
Oscillation Single Frequency (5);4,390E+003;117,3;;;;0,1857;;;;;;;-1,226E-004;-3,687E-003;21,00;9,1500
Oscillation Single Frequency (5);4,390E+003;117,3;;;;0,1855;;;;;;;-1,209E-004;-3,661E-003;21,00;9,1500
Oscillation Single Frequency (5);4,390E+003;117,4;;;;0,1855;;;;;;;-1,192E-004;-3,637E-003;21,00;9,1500
Oscillation Single Frequency (5);4,390E+003;117,5;;;;0,1852;;;;;;;-1,175E-004;-3,610E-003;21,00;9,1500
Oscillation Single Frequency (5);4,390E+003;117,6;;;;0,1851;;;;;;;-1,157E-004;-3,581E-003;21,00;9,1500
Oscillation Single Frequency (5);4,390E+003;117,7;;;;0,1851;;;;;;;-1,140E-004;-3,553E-003;21,00;9,1500
Oscillation Single Frequency (5);4,390E+003;117,7;;;;0,1853;;;;;;;-1,121E-004;-3,523E-003;21,00;9,1500
Oscillation Single Frequency (5);4,391E+003;117,8;;;;0,1850;;;;;;;-1,103E-004;-3,494E-003;21,00;9,1500
Oscillation Single Frequency (5);4,391E+003;117,9;;;;0,1848;;;;;;;-1,084E-004;-3,464E-003;21,00;9,1500
Oscillation Single Frequency (5);4,391E+003;118,0;;;;0,1850;;;;;;;-1,065E-004;-3,434E-003;21,00;9,1500
Oscillation Single Frequency (5);4,391E+003;118,0;;;;0,1853;;;;;;;-1,046E-004;-3,403E-003;21,00;9,1500
Oscillation Single Frequency (5);4,391E+003;118,1;;;;0,1857;;;;;;;-1,026E-004;-3,371E-003;21,00;9,1500
Oscillation Single Frequency (5);4,391E+003;118,2;;;;0,1860;;;;;;;-1,006E-004;-3,339E-003;21,00;9,1500
Oscillation Single Frequency (5);4,391E+003;118,3;;;;0,1856;;;;;;;-9,859E-005;-3,307E-003;21,00;9,1500
Oscillation Single Frequency (5);4,391E+003;118,4;;;;0,1855;;;;;;;-9,655E-005;-3,273E-003;21,00;9,1500
Oscillation Single Frequency (5);4,391E+003;118,4;;;;0,1856;;;;;;;-9,448E-005;-3,238E-003;21,00;9,1500
Oscillation Single Frequency (5);4,391E+003;118,5;;;;0,1854;;;;;;;-9,239E-005;-3,203E-003;21,00;9,1500
Oscillation Single Frequency (5);4,391E+003;118,6;;;;0,1852;;;;;;;-9,027E-005;-3,167E-003;21,00;9,1500
Oscillation Single Frequency (5);4,391E+003;118,7;;;;0,1852;;;;;;;-8,813E-005;-3,131E-003;21,00;9,1500
Oscillation Single Frequency (5);4,391E+003;118,7;;;;0,1852;;;;;;;-8,597E-005;-3,093E-003;21,00;9,1500
Oscillation Single Frequency (5);4,392E+003;118,8;;;;0,1853;;;;;;;-8,378E-005;-3,055E-003;21,00;9,1500
Oscillation Single Frequency (5);4,392E+003;118,9;;;;0,1854;;;;;;;-8,158E-005;-3,018E-003;21,00;9,1500
Oscillation Single Frequency (5);4,392E+003;119,0;;;;0,1856;;;;;;;-7,935E-005;-2,980E-003;21,00;9,1500
Oscillation Single Frequency (5);4,392E+003;119,1;;;;0,1858;;;;;;;-7,710E-005;-2,941E-003;21,00;9,1500
Oscillation Single Frequency (5);4,392E+003;119,1;;;;0,1852;;;;;;;-7,483E-005;-2,901E-003;21,00;9,1500
Oscillation Single Frequency (5);4,392E+003;119,2;;;;0,1854;;;;;;;-7,254E-005;-2,861E-003;21,00;9,1500
Oscillation Single Frequency (5);4,392E+003;119,3;;;;0,1856;;;;;;;-7,023E-005;-2,821E-003;21,00;9,1500
Oscillation Single Frequency (5);4,392E+003;119,4;;;;0,1858;;;;;;;-6,791E-005;-2,779E-003;21,00;9,1500
Oscillation Single Frequency (5);4,392E+003;119,5;;;;0,1861;;;;;;;-6,556E-005;-2,736E-003;21,00;9,1500
Oscillation Single Frequency (5);4,392E+003;119,5;;;;0,1858;;;;;;;-6,320E-005;-2,695E-003;21,00;9,1500
Oscillation Single Frequency (5);4,392E+003;119,6;;;;0,1856;;;;;;;-6,083E-005;-2,654E-003;21,00;9,1500
Oscillation Single Frequency (5);4,392E+003;119,7;;;;0,1855;;;;;;;-5,843E-005;-2,612E-003;21,00;9,1500
Oscillation Single Frequency (5);4,392E+003;119,8;;;;0,1856;;;;;;;-5,602E-005;-2,570E-003;21,00;9,1500
Oscillation Single Frequency (5);4,393E+003;119,8;;;;0,1859;;;;;;;-5,360E-005;-2,527E-003;21,00;9,1500
Oscillation Single Frequency (5);4,393E+003;119,9;;;;0,1863;;;;;;;-5,116E-005;-2,483E-003;21,00;9,1500
Oscillation Single Frequency (5);4,393E+003;120,0;;;;0,1861;;;;;;;-4,871E-005;-2,440E-003;21,00;9,1500
Oscillation Single Frequency (5);4,393E+003;120,1;;;;0,1862;;;;;;;-4,625E-005;-2,396E-003;21,00;9,1500
Oscillation Single Frequency (5);4,393E+003;120,2;;;;0,1861;;;;;;;-4,377E-005;-2,351E-003;21,00;9,1500
Oscillation Single Frequency (5);4,393E+003;120,2;;;;0,1859;;;;;;;-4,129E-005;-2,306E-003;21,00;9,1500
Oscillation Single Frequency (5);4,393E+003;120,3;;;;0,1858;;;;;;;-3,879E-005;-2,261E-003;21,00;9,1500
Oscillation Single Frequency (5);4,393E+003;120,4;;;;0,1862;;;;;;;-3,628E-005;-2,214E-003;21,00;9,1500
Oscillation Single Frequency (5);4,393E+003;120,5;;;;0,1860;;;;;;;-3,377E-005;-2,168E-003;21,00;9,1500
Oscillation Single Frequency (5);4,393E+003;120,5;;;;0,1863;;;;;;;-3,124E-005;-2,122E-003;21,00;9,1500
Oscillation Single Frequency (5);4,393E+003;120,6;;;;0,1866;;;;;;;-2,871E-005;-2,078E-003;21,00;9,1500
Oscillation Single Frequency (5);4,393E+003;120,7;;;;0,1861;;;;;;;-2,616E-005;-2,032E-003;21,00;9,1500
Oscillation Single Frequency (5);4,393E+003;120,8;;;;0,1863;;;;;;;-2,362E-005;-1,987E-003;21,00;9,1500
Oscillation Single Frequency (5);4,394E+003;120,9;;;;0,1862;;;;;;;-2,106E-005;-1,941E-003;21,00;9,1500
Oscillation Single Frequency (5);4,394E+003;120,9;;;;0,1861;;;;;;;-1,850E-005;-1,895E-003;21,00;9,1500
Oscillation Single Frequency (5);4,394E+003;121,0;;;;0,1860;;;;;;;-1,594E-005;-1,848E-003;21,00;9,1500
Oscillation Single Frequency (5);4,394E+003;121,1;;;;0,1858;;;;;;;-1,336E-005;-1,802E-003;21,00;9,1500
Oscillation Single Frequency (5);4,394E+003;121,2;;;;0,1858;;;;;;;-1,079E-005;-1,754E-003;21,00;9,1500
Oscillation Single Frequency (5);4,394E+003;121,2;;;;0,1858;;;;;;;-8,215E-006;-1,708E-003;21,00;9,1500
Oscillation Single Frequency (5);4,394E+003;121,3;;;;0,1856;;;;;;;-5,638E-006;-1,661E-003;21,00;9,1500
Oscillation Single Frequency (5);4,394E+003;121,4;;;;0,1857;;;;;;;-3,059E-006;-1,614E-003;21,00;9,1500
Oscillation Single Frequency (5);4,394E+003;121,5;;;;0,1855;;;;;;;-4,790E-007;-1,566E-003;21,00;9,1500
Oscillation Single Frequency (5);4,394E+003;121,6;;;;0,1855;;;;;;;2,101E-006;-1,517E-003;21,00;9,1500
Oscillation Single Frequency (5);4,394E+003;121,6;;;;0,1851;;;;;;;4,680E-006;-1,465E-003;21,00;9,1500
Oscillation Single Frequency (5);4,394E+003;121,7;;;;0,1854;;;;;;;7,259E-006;-1,416E-003;21,00;9,1500
Oscillation Single Frequency (5);4,395E+003;121,8;;;;0,1854;;;;;;;9,835E-006;-1,367E-003;21,00;9,1500
Oscillation Single Frequency (5);4,395E+003;121,9;;;;0,1855;;;;;;;1,241E-005;-1,318E-003;21,00;9,1500
Oscillation Single Frequency (5);4,395E+003;122,0;;;;0,1854;;;;;;;1,498E-005;-1,268E-003;21,00;9,1500
Oscillation Single Frequency (5);4,395E+003;122,0;;;;0,1856;;;;;;;1,755E-005;-1,219E-003;21,00;9,1500
Oscillation Single Frequency (5);4,395E+003;122,1;;;;0,1854;;;;;;;2,011E-005;-1,168E-003;21,00;9,1500
Oscillation Single Frequency (5);4,395E+003;122,2;;;;0,1856;;;;;;;2,266E-005;-1,119E-003;21,00;9,1500
Oscillation Single Frequency (5);4,395E+003;122,3;;;;0,1856;;;;;;;2,521E-005;-1,069E-003;21,00;9,1500
Oscillation Single Frequency (5);4,395E+003;122,3;;;;0,1855;;;;;;;2,776E-005;-1,019E-003;21,00;9,1500
Oscillation Single Frequency (5);4,395E+003;122,4;;;;0,1853;;;;;;;3,030E-005;-9,693E-004;21,00;9,1500
Oscillation Single Frequency (5);4,395E+003;122,5;;;;0,1856;;;;;;;3,283E-005;-9,200E-004;21,00;9,1500
Oscillation Single Frequency (5);4,395E+003;122,6;;;;0,1855;;;;;;;3,535E-005;-8,705E-004;21,00;9,1500
Oscillation Single Frequency (5);4,395E+003;122,7;;;;0,1854;;;;;;;3,786E-005;-8,224E-004;21,00;9,1500
Oscillation Single Frequency (5);4,395E+003;122,7;;;;0,1856;;;;;;;4,036E-005;-7,728E-004;21,00;9,1500
Oscillation Single Frequency (5);4,396E+003;122,8;;;;0,1857;;;;;;;4,285E-005;-7,240E-004;21,00;9,1500
Oscillation Single Frequency (5);4,396E+003;122,9;;;;0,1860;;;;;;;4,533E-005;-6,756E-004;21,00;9,1500
Oscillation Single Frequency (5);4,396E+003;123,0;;;;0,1863;;;;;;;4,780E-005;-6,255E-004;21,00;9,1500
Oscillation Single Frequency (5);4,396E+003;123,0;;;;0,1859;;;;;;;5,025E-005;-5,764E-004;21,00;9,1500
Oscillation Single Frequency (5);4,396E+003;123,1;;;;0,1859;;;;;;;5,269E-005;-5,263E-004;21,00;9,1500
Oscillation Single Frequency (5);4,396E+003;123,2;;;;0,1858;;;;;;;5,512E-005;-4,776E-004;21,00;9,1500
Oscillation Single Frequency (5);4,396E+003;123,3;;;;0,1859;;;;;;;5,754E-005;-4,288E-004;21,00;9,1500
Oscillation Single Frequency (5);4,396E+003;123,4;;;;0,1861;;;;;;;5,994E-005;-3,806E-004;21,00;9,1500
Oscillation Single Frequency (5);4,396E+003;123,4;;;;0,1863;;;;;;;6,232E-005;-3,325E-004;21,00;9,1500
Oscillation Single Frequency (5);4,396E+003;123,5;;;;0,1861;;;;;;;6,469E-005;-2,863E-004;21,00;9,1500
Oscillation Single Frequency (5);4,396E+003;123,6;;;;0,1858;;;;;;;6,704E-005;-2,401E-004;21,00;9,1500
Oscillation Single Frequency (5);4,396E+003;123,7;;;;0,1854;;;;;;;6,937E-005;-1,944E-004;21,00;9,1500
Oscillation Single Frequency (5);4,396E+003;123,7;;;;0,1858;;;;;;;7,168E-005;-1,463E-004;21,00;9,1500
Oscillation Single Frequency (5);4,397E+003;123,8;;;;0,1859;;;;;;;7,398E-005;-9,926E-005;21,00;9,1500
Oscillation Single Frequency (5);4,397E+003;123,9;;;;0,1856;;;;;;;7,626E-005;-5,489E-005;21,00;9,1500
Oscillation Single Frequency (5);4,397E+003;124,0;;;;0,1858;;;;;;;7,852E-005;-7,940E-006;21,00;9,1500
Oscillation Single Frequency (5);4,397E+003;124,1;;;;0,1856;;;;;;;8,075E-005;3,575E-005;21,00;9,1500
Oscillation Single Frequency (5);4,397E+003;124,1;;;;0,1858;;;;;;;8,297E-005;8,044E-005;21,00;9,1500
Oscillation Single Frequency (5);4,397E+003;124,2;;;;0,1861;;;;;;;8,516E-005;1,252E-004;21,00;9,1500
Oscillation Single Frequency (5);4,397E+003;124,3;;;;0,1863;;;;;;;8,733E-005;1,706E-004;21,00;9,1500
Oscillation Single Frequency (5);4,397E+003;124,4;;;;0,1863;;;;;;;8,948E-005;2,133E-004;21,00;9,1500
Oscillation Single Frequency (5);4,397E+003;124,5;;;;0,1864;;;;;;;9,160E-005;2,554E-004;21,00;9,1500
Oscillation Single Frequency (5);4,397E+003;124,5;;;;0,1857;;;;;;;9,371E-005;3,000E-004;21,00;9,1500
Oscillation Single Frequency (5);4,397E+003;124,6;;;;0,1859;;;;;;;9,578E-005;3,457E-004;21,00;9,1500
Oscillation Single Frequency (5);4,397E+003;124,7;;;;0,1861;;;;;;;9,783E-005;3,887E-004;21,00;9,1500
Oscillation Single Frequency (5);4,397E+003;124,8;;;;0,1858;;;;;;;9,986E-005;4,300E-004;21,00;9,1500
Oscillation Single Frequency (5);4,398E+003;124,8;;;;0,1855;;;;;;;1,019E-004;4,722E-004;21,00;9,1500
Oscillation Single Frequency (5);4,398E+003;124,9;;;;0,1858;;;;;;;1,038E-004;5,161E-004;21,00;9,1500
Oscillation Single Frequency (5);4,398E+003;125,0;;;;0,1860;;;;;;;1,058E-004;5,569E-004;21,00;9,1500
Oscillation Single Frequency (5);4,398E+003;125,1;;;;0,1863;;;;;;;1,077E-004;5,965E-004;21,00;9,1500
Oscillation Single Frequency (5);4,398E+003;125,2;;;;0,1862;;;;;;;1,096E-004;6,369E-004;21,00;9,1500
Oscillation Single Frequency (5);4,398E+003;125,2;;;;0,1857;;;;;;;1,114E-004;6,766E-004;21,00;9,1500
Oscillation Single Frequency (5);4,398E+003;125,3;;;;0,1859;;;;;;;1,133E-004;7,171E-004;21,00;9,1500
Oscillation Single Frequency (5);4,398E+003;125,4;;;;0,1860;;;;;;;1,151E-004;7,563E-004;21,00;9,1500
Oscillation Single Frequency (5);4,398E+003;125,5;;;;0,1862;;;;;;;1,169E-004;7,944E-004;21,00;9,1500
Oscillation Single Frequency (5);4,398E+003;125,5;;;;0,1862;;;;;;;1,186E-004;8,322E-004;21,00;9,1500
Oscillation Single Frequency (5);4,398E+003;125,6;;;;0,1863;;;;;;;1,203E-004;8,707E-004;21,00;9,1500
Oscillation Single Frequency (5);4,398E+003;125,7;;;;0,1863;;;;;;;1,220E-004;9,073E-004;21,00;9,1500
Oscillation Single Frequency (5);4,398E+003;125,8;;;;0,1863;;;;;;;1,236E-004;9,420E-004;21,00;9,1500
Oscillation Single Frequency (5);4,399E+003;125,9;;;;0,1864;;;;;;;1,253E-004;9,765E-004;21,00;9,1500
Oscillation Single Frequency (5);4,399E+003;125,9;;;;0,1862;;;;;;;1,268E-004;1,012E-003;21,00;9,1500
Oscillation Single Frequency (5);4,399E+003;126,0;;;;0,1858;;;;;;;1,284E-004;1,048E-003;21,00;9,1500
Oscillation Single Frequency (5);4,399E+003;126,1;;;;0,1860;;;;;;;1,299E-004;1,083E-003;21,00;9,1500
Oscillation Single Frequency (5);4,399E+003;126,2;;;;0,1862;;;;;;;1,314E-004;1,116E-003;21,00;9,1500
Oscillation Single Frequency (5);4,399E+003;126,2;;;;0,1861;;;;;;;1,328E-004;1,148E-003;21,00;9,1500
Oscillation Single Frequency (5);4,399E+003;126,3;;;;0,1864;;;;;;;1,343E-004;1,181E-003;21,00;9,1500
Oscillation Single Frequency (5);4,399E+003;126,4;;;;0,1864;;;;;;;1,356E-004;1,213E-003;21,00;9,1500
Oscillation Single Frequency (5);4,399E+003;126,5;;;;0,1863;;;;;;;1,370E-004;1,246E-003;21,00;9,1500
Oscillation Single Frequency (5);4,399E+003;126,6;;;;0,1863;;;;;;;1,383E-004;1,277E-003;21,00;9,1500
Oscillation Single Frequency (5);4,399E+003;126,6;;;;0,1866;;;;;;;1,396E-004;1,305E-003;21,00;9,1500
Oscillation Single Frequency (5);4,399E+003;126,7;;;;0,1870;;;;;;;1,408E-004;1,334E-003;21,00;9,1500
Oscillation Single Frequency (5);4,400E+003;126,8;;;;0,1865;;;;;;;1,420E-004;1,363E-003;21,00;9,1500
Oscillation Single Frequency (5);4,400E+003;126,9;;;;0,1861;;;;;;;1,431E-004;1,391E-003;21,00;9,1500
Oscillation Single Frequency (5);4,400E+003;127,0;;;;0,1864;;;;;;;1,443E-004;1,416E-003;21,00;9,1500
Oscillation Single Frequency (5);4,400E+003;127,0;;;;0,1864;;;;;;;1,454E-004;1,441E-003;21,00;9,1500
Oscillation Single Frequency (5);4,400E+003;127,1;;;;0,1862;;;;;;;1,464E-004;1,468E-003;21,00;9,1500
Oscillation Single Frequency (5);4,400E+003;127,2;;;;0,1864;;;;;;;1,474E-004;1,490E-003;21,00;9,1500
Oscillation Single Frequency (5);4,400E+003;127,3;;;;0,1867;;;;;;;1,484E-004;1,515E-003;21,00;9,1500
Oscillation Single Frequency (5);4,400E+003;127,3;;;;0,1862;;;;;;;1,493E-004;1,539E-003;21,00;9,1500
