44.13,199.999,0.221,0.316867,20.00,-3.64
44.13,200.003,0.221,0.333533,20.00,-2.31
44.14,200.003,0.221,0.350200,20.00,-3.04
44.14,200.004,0.221,0.366933,20.00,-3.68
44.14,200.004,0.221,0.383533,20.00,-3.62
44.14,200.004,0.221,0.400200,20.00,-3.25
44.14,200.000,0.221,0.416867,20.00,-3.67
44.14,200.005,0.221,0.433533,20.00,-3.50
44.14,200.001,0.221,0.450200,20.00,-2.98
44.14,200.001,0.221,0.466933,20.00,-2.20
44.15,200.006,0.221,0.483533,20.00,-2.23
44.15,200.006,0.221,0.500267,20.00,-2.13
44.15,200.005,0.221,0.516800,20.00,-3.22
44.15,200.006,0.221,0.533467,20.00,-2.66
44.15,200.003,0.221,0.550133,20.00,-3.07
44.15,199.999,0.221,0.566867,20.00,-2.86
44.16,200.000,0.221,0.583533,20.00,-3.65
44.16,200.003,0.221,0.600200,20.00,-2.79
44.16,200.004,0.221,0.616867,20.00,-2.00
44.16,200.001,0.221,0.633533,20.00,-2.19
44.17,199.996,0.221,0.650200,20.00,-4.15
44.16,200.001,0.221,0.666867,20.00,-3.35
44.17,200.005,0.221,0.683600,20.00,-2.01
44.17,200.001,0.221,0.700267,20.00,-2.19
44.17,200.005,0.221,0.716800,20.00,-2.74
44.18,200.001,0.221,0.733467,20.00,-4.01
44.18,200.005,0.221,0.750133,20.00,-4.01
44.18,200.004,0.221,0.766800,20.00,-1.46
44.18,200.001,0.221,0.783467,20.00,-2.06
44.18,200.004,0.221,0.800133,20.00,-2.54
44.19,200.000,0.221,0.816867,20.00,-3.54
44.19,200.003,0.221,0.833533,20.00,-3.21
44.20,200.000,0.221,0.850200,20.00,-3.66
44.20,200.000,0.221,0.866933,20.00,-4.11
44.20,200.001,0.221,0.883600,20.00,-3.95
44.20,200.006,0.221,0.900267,20.00,-3.55
44.21,200.006,0.221,0.916800,20.00,-2.75
44.20,200.007,0.221,0.933467,20.00,-4.01
44.20,199.999,0.221,0.950133,20.00,-4.32
44.21,199.999,0.221,0.966867,20.00,-4.31
44.20,200.003,0.221,0.983533,20.00,-3.60
44.20,200.000,0.221,1.00020,20.00,-3.03

[step]
Peak hold - 6
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress
Pa,1/s,Pa.s,min,°C,Pa
0.00,-4.12850e-4,-0.118,0.0170000,20.00,-10.62
0.00,-2.13594e-4,0.056,0.0334667,20.00,-11.20
0.00,-3.92077e-4,-0.149,0.0500667,20.00,-11.18
0.00,-3.85347e-4,-0.132,0.0667333,20.00,-11.30
0.00,-3.33550e-5,0.893,0.0834667,20.00,-11.19
0.00,-8.80690e-5,0.459,0.100200,20.00,-11.28
0.00,-1.49513e-4,0.298,0.116800,20.00,-11.54
0.00,-1.40445e-4,-0.026,0.133533,20.00,-11.27
0.00,-2.35244e-4,-0.198,0.150200,20.00,-10.85
0.00,-3.00784e-4,-0.305,0.166867,20.00,-11.28
0.00,7.57801e-5,-0.959,0.183533,20.00,-10.92
0.00,-3.89148e-5,1.452,0.200133,20.00,-10.97
0.00,-7.95851e-5,0.181,0.216800,20.00,-11.08
0.00,-1.33422e-4,0.167,0.233467,20.00,-11.58
0.00,-1.56244e-4,-0.293,0.250133,20.00,-10.86
0.00,1.35178e-4,-0.643,0.266800,20.00,-10.63
0.00,-2.76206e-4,-0.069,0.283533,20.00,-10.68
0.00,7.05132e-5,-0.988,0.300200,20.00,-10.97
0.00,-1.52148e-5,4.109,0.316867,20.00,-10.28
0.00,-1.07672e-4,-0.197,0.333533,20.00,-9.42

[step]
Amplitude sweep - 7
Storage modulus,Loss modulus,Tan(delta),Angular frequency,Oscillation torque,Step time,Temperature,Raw phase,Oscillation displacement,Oscillation strain
Pa,Pa,,rad/s,µN.m,min,°C,°,rad,%
13.95,10.28,0.737189,6.28319,0.0161829,0.0829201,20.00,47.4091,4.61120e-6,9.22243e-3
14.53,7.62,0.524210,6.28319,0.0201935,0.175973,20.00,37.1974,6.37640e-6,0.0127528
15.13,8.24,0.544459,6.28319,0.0265562,0.269000,20.00,37.7631,7.85678e-6,0.0157138
14.45,7.80,0.539585,6.28319,0.0321452,0.362070,20.00,38.0714,1.01173e-5,0.0202352
15.50,7.77,0.501202,6.28319,0.0420356,0.454302,20.00,35.2211,1.24190e-5,0.0248387
15.16,8.34,0.550095,6.28319,0.0547392,0.547524,20.00,38.0220,1.60849e-5,0.0321706
15.42,8.17,0.530128,6.28319,0.0682217,0.641578,20.00,36.8064,1.98956e-5,0.0397920
15.37,8.03,0.522338,6.28319,0.0851000,0.734822,20.00,36.4356,2.50477e-5,0.0500963
15.16,8.56,0.564722,6.28319,0.107025,0.830277,20.00,38.7544,3.11345e-5,0.0622699
15.38,7.93,0.515501,6.28319,0.134273,0.925625,20.00,36.0687,3.96727e-5,0.0793481
15.38,8.30,0.539621,6.28319,0.170456,1.02267,20.00,37.3263,4.95603e-5,0.0991236
15.40,8.29,0.537893,6.28319,0.215717,1.11552,20.00,37.2177,6.26546e-5,0.125313
15.29,7.96,0.520511,6.28319,0.268478,1.21058,20.00,36.3979,7.96358e-5,0.159276
15.28,8.12,0.531749,6.28319,0.338182,1.30348,20.00,36.9964,9.96820e-5,0.199369
15.04,8.23,0.546838,6.28319,0.422930,1.39715,20.00,37.9506,1.25814e-4,0.251629
14.75,8.26,0.560203,6.28319,0.526294,1.49221,20.00,38.8597,1.58995e-4,0.317990
14.38,8.57,0.596077,6.28319,0.656516,1.58877,20.00,40.9271,1.99602e-4,0.399211
13.65,8.76,0.641902,6.28319,0.806433,1.68261,20.00,43.7410,2.53153e-4,0.506313
12.66,9.07,0.716307,6.28319,0.981290,1.77735,20.00,47.9969,3.19862e-4,0.639743
11.23,9.26,0.824322,6.28319,1.16920,1.87294,20.00,53.9558,4.06187e-4,0.812401
9.65,9.19,0.952967,6.28319,1.36235,1.96915,20.00,60.7315,5.14307e-4,1.02863
7.92,8.90,1.12328,6.28319,1.56177,2.06655,20.00,68.9365,6.51625e-4,1.30329
6.36,8.38,1.31590,6.28319,1.76983,2.16178,20.00,77.4155,8.20576e-4,1.64120
5.03,7.69,1.52964,6.28319,1.99749,2.25410,20.00,86.0560,1.03154e-3,2.06310
3.99,6.96,1.74221,6.28319,2.26875,2.35133,20.00,94.1277,1.29424e-3,2.58854
3.12,6.23,1.99847,6.28319,2.60679,2.44671,20.00,102.457,1.62515e-3,3.25038
2.47,5.54,2.24414,6.28319,3.01920,2.54380,20.00,110.098,2.03670e-3,4.07348
1.98,4.93,2.48381,6.28319,3.54892,2.63926,20.00,117.009,2.55336e-3,5.10684
1.62,4.37,2.69860,6.28319,4.21076,2.73483,20.00,123.356,3.20301e-3,6.40615
